2024-09-27 06:03:23 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:23 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-09-27 06:03:23 install libnpth0:amd64 <none> 1.6-3
2024-09-27 06:03:23 status half-installed libnpth0:amd64 1.6-3
2024-09-27 06:03:23 status unpacked libnpth0:amd64 1.6-3
2024-09-27 06:03:23 install dirmngr:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked dirmngr:amd64 2.2.40-1.1
2024-09-27 06:03:23 install gnupg-l10n:all <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-09-27 06:03:23 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-09-27 06:03:23 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-09-27 06:03:23 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:23 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-09-27 06:03:23 install gpg:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gpg:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gpg:amd64 2.2.40-1.1
2024-09-27 06:03:23 install libncursesw6:amd64 <none> 6.4-4
2024-09-27 06:03:23 status half-installed libncursesw6:amd64 6.4-4
2024-09-27 06:03:23 status unpacked libncursesw6:amd64 6.4-4
2024-09-27 06:03:23 install pinentry-curses:amd64 <none> 1.2.1-1
2024-09-27 06:03:23 status half-installed pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:23 status unpacked pinentry-curses:amd64 1.2.1-1
2024-09-27 06:03:23 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-09-27 06:03:23 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-09-27 06:03:23 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-09-27 06:03:23 install gpgsm:amd64 <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gpgsm:amd64 2.2.40-1.1
2024-09-27 06:03:23 install gnupg:all <none> 2.2.40-1.1
2024-09-27 06:03:23 status half-installed gnupg:all 2.2.40-1.1
2024-09-27 06:03:23 status unpacked gnupg:all 2.2.40-1.1
2024-09-27 06:03:23 startup packages configure
2024-09-27 06:03:23 configure libksba8:amd64 1.6.3-2 <none>
2024-09-27 06:03:23 status unpacked libksba8:amd64 1.6.3-2
2024-09-27 06:03:23 status half-configured libksba8:amd64 1.6.3-2
